"* Required information","* Informations obligatoires"
"** You have to register at least a phone number","** Vous devez enregistrer au moins un numéro de téléphone"
"%s was added to your Quote Request.","%s a été ajouté à votre demande de devis."
"Accept and Checkout","Accepter et commander"
"Add Comment To Quote","Ajouter un commentaire au devis"
"All the news","Toutes les actus"
"Ask for a personalized estimate","Demander un devis personnalisé"
"Back to My Quotes","Retour à mes devis"
"Connect in your customer space","Connectez-vous à votre espace client"
"Comment from: ","Commentaire de : "
"Complete the form to obtain your personalized estimate","Remplissez le formulaire afin d'obtenir votre devis personnalisé"
"Consult our FAQ","Consultez notre FAQ"
"customer","client"
"Customer space","Espace client"
"Discount voucher","Bon de réduction"
"Email address","Adresse email"
"Estimate for %s article(s)","Devis pour %s article(s)"
"Grand Total","Montant global TTC"
"If you have one N of valid VAT, you will be exempted from VAT for any order delivered in the EEC, except France.","Si vous disposez d'un n° de TVA valide, vous serez exonéré de TVA pour toute commande livrée dans la CEE, hors France."
"Items Requested","Articles Demandés"
"Landline telephone","Téléphone fixe"
"My Quotes","Mes devis"
"My Quote Requests","Mes demandes de devis"
"mini_login_p_etoile","** en vous connectant à votre espace client, vous pourrez faire mentionner en plus l'adresse de votre société sur votre devis."
"Mobile phone","Téléphone mobile"
"Modify","Modifier"
"Name of the article","Nom de l'article"
"Need help?","Besoin d'aide ?"
"No Items to display.","Aucun produit n’a été ajouté."
"Or","Ou"
"p_devis","Obtenez en quelques secondes votre devis officiel et personnalisé au format PDF - <a target='_blank' href='%s'>En savoir plus</a>"
"Payment","Paiement"
"Please agree to sales agreements",""
"Pursue your purchases","Poursuivre vos achats"
"Quote","Devis"
"Quote comment successfully added","Commentaire du devis ajouté avec succès"
"Quote Request %s","Demande de devis %s"
"Quote Request Date: %s","Date de la demande de devis : %s"
"Quote status:","Statut du devis :"
"Quote Comments","Commentaire du devis"
"Register","S'enregistrer"
"Regular Price","Prix normal"
"Price Proposal","Proposition de prix"
"Remark","Remarque"
"Remarks with product","Remarques du produit"
"Request for Quote","Demander un devis"
"Request Status","Status de la demande"
"Sale to the administrations and the companies","Vente aux administrations et entreprises"
"Seize your email address to create your account","Saisissez votre adresse email pour créer votre compte"
"Shipping &amp; Handling price varies. Please select required quantity and checkout online to see applicable price.","La livraison et le traitement du prix varient. Choisissez la quantité exigée et le paiement en ligne pour voir le prix appliqué"
"Sign up for our newsletter","S'inscrire à notre newsletter"
"Submit Quote Request","Envoyer la demande de devis"
"Summary","Récapitulatif"
"Subtotal","Sous-total (HT)"
"Tax","TVA & autres taxes 20%"
"Thank you for your interest!","Merci pour votre intérêt!"
"Thank you for your subscription.","Merci pour votre inscription."
"To add a new address, thank you for completing this form.","Pour ajouter une nouvelle adresse, merci de remplir ce formulaire."
"This is a required field.","Ce champ est obligatoire."
"View quote","Voir le devis"
"Why choose Promethean?","Pourquoi choisir Promethean  ?"
"Your addresses","Vos adresses"
"Your coordinates","Vos coordonnées"
"Your email address","Votre adresse email"
"Your quote request # is:","Votre demande de devis est :"
"Your Quote Request has been received","Votre demande de devis a été reçue"
"Your quote request is being processed. You will receive an email with pricing shortly.","Votre demande de devis est traitée. Vous recevrez un email avec la tarification bientôt."
"You will receive a Quote Request confirmation email with a link to track progress.","Vous recevrez un email de confirmation de demande de devis avec un lien pour suivre le traitement."
"Why choose Promothean?","Pourquoi choisir Promethean  ?"